description
"American Academy of Allergy, Asthma, and Immunology "
"American College of Allergy, Asthma, and Immunology "
American Society of Human Genetics 
American Medical Informatics Association 
Pharmacogenomics Global Research Network 
Society for Investigative Dermatology 
American Association of Immunologists
